Date,LGA,LGA name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,JobSeeker Payment,Low Income Card,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pension Concession Card,Special Benefit,Widow Allowance,Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance
2021-06,12160,Cootamundra-Gundagai Regional (A),6,12,2059,5,391,5,206,311,550,664,519,586,446,35,24,122,0,3236,0,0,46,22,612
2021-06,12350,Cowra (A),6,34,2179,5,448,11,252,309,724,912,704,808,671,51,47,218,0,3826,0,0,89,33,948
2021-06,12380,Cumberland (A),21,49,18948,328,7925,131,5492,1882,7065,16940,13629,19637,11299,798,2134,1847,0,39424,650,0,799,3375,15627
2021-06,12390,Dubbo Regional (A),83,337,5748,29,1409,35,705,766,2087,3769,3119,3521,2246,182,149,1059,0,10831,0,0,384,146,3760
2021-06,12700,Dungog (A),0,0,1168,9,278,5,145,239,370,481,370,484,340,44,20,76,0,1982,0,0,40,24,470
2021-06,12730,Edward River (A),6,14,1260,0,276,6,129,199,438,581,462,583,404,31,31,128,0,2212,5,0,45,25,797
2021-06,12750,Eurobodalla (A),30,111,8176,43,1383,8,707,1302,2216,2459,1882,2272,1919,240,148,502,0,13017,0,0,199,104,3347
2021-06,12850,Fairfield (C),19,49,23657,280,14565,149,11933,1286,8117,17417,13771,20355,15508,923,2024,2004,0,55276,389,0,1049,4277,21947
2021-06,12870,Federation (A),0,5,2531,5,411,10,195,359,488,739,540,687,529,99,27,118,0,3723,5,0,38,42,883
2021-06,12900,Forbes (A),8,30,1329,5,262,5,110,198,367,647,525,590,400,40,27,176,0,2224,0,0,43,14,572
2021-06,12930,Georges River (A),13,15,13727,195,3091,55,1386,3510,2552,6388,4832,7491,4308,544,363,587,0,20879,131,0,245,1526,6176
2021-06,12950,Gilgandra (A),8,14,603,0,142,5,79,94,215,335,270,403,251,17,17,104,0,1133,0,0,46,9,365
2021-06,13010,Glen Innes Severn (A),5,19,1641,0,305,7,179,206,630,621,495,699,574,64,42,141,0,2947,5,0,91,19,886
2021-06,13310,Goulburn Mulwaree (A),10,27,4188,31,870,21,409,594,1262,1905,1541,1635,1258,93,103,397,0,7161,0,0,136,113,2094
2021-06,13340,Greater Hume Shire (A),0,5,1350,12,339,8,145,241,334,686,510,548,297,41,33,96,0,2146,0,0,33,37,483
2021-06,13450,Griffith (C),12,54,2430,8,681,13,286,545,753,1698,1310,1153,717,49,83,360,0,4349,12,0,106,77,1404
2021-06,13550,Gunnedah (A),9,61,1491,7,313,10,171,177,460,808,673,817,538,31,23,254,0,2657,0,0,121,28,969
2021-06,13660,Gwydir (A),0,0,879,0,206,5,100,90,282,332,260,391,210,23,23,58,0,1460,0,0,30,14,301
2021-06,13800,Hawkesbury (C),28,55,5927,51,1467,44,624,1232,1677,3350,2639,2960,1978,173,110,663,0,10218,5,0,217,310,3574
2021-06,13850,Hay (A),0,0,419,5,72,5,34,50,117,162,131,155,107,9,10,44,0,673,0,0,12,9,168
2021-06,13910,Hilltops (A),8,28,2904,10,586,9,301,378,872,1389,1075,1127,838,81,81,262,0,4893,5,0,91,50,1383
2021-06,14000,Hornsby (A),15,17,11015,160,1732,35,523,4697,2065,4337,3161,5078,2444,412,130,321,0,15700,68,0,156,1133,4593
2021-06,14100,Hunters Hill (A),6,13,1029,6,118,5,47,457,227,188,148,264,169,14,0,20,0,1452,0,0,0,60,571
2021-06,14170,Inner West (A),81,60,13188,579,2612,25,1162,2737,3869,4042,3274,8476,6084,421,132,505,0,21673,53,0,321,1846,9375
2021-06,14220,Inverell (A),22,77,2659,11,626,12,367,326,992,1519,1212,1506,955,93,92,351,0,4946,5,0,197,45,1577
2021-06,14300,Junee (A),0,10,704,8,221,5,121,93,267,336,269,298,203,22,21,78,0,1300,0,0,31,19,353
2021-06,14350,Kempsey (A),64,179,5403,25,1630,8,966,615,2291,2546,2096,2514,2005,154,155,686,0,10749,5,0,337,94,3286
2021-06,14400,Kiama (A),7,0,3093,23,460,6,143,1051,364,743,575,750,424,84,18,106,0,4080,0,0,36,92,770
2021-06,14500,Ku-ring-gai (A),10,28,6120,113,926,12,183,4922,696,2446,1768,3267,1250,224,65,131,0,8017,32,0,50,845,1840
2021-06,14550,Kyogle (A),8,19,1555,15,344,0,227,198,720,749,566,786,723,57,40,162,0,3104,5,0,49,27,741
2021-06,14600,Lachlan (A),14,66,766,0,191,5,107,86,254,463,359,562,334,19,25,124,0,1382,0,0,42,10,350
2021-06,14650,Lake Macquarie (C),132,242,30148,262,6457,108,2903,4833,8443,11317,9279,11201,7326,914,386,2384,0,48970,9,0,1030,1158,13017
2021-06,14700,Lane Cove (A),7,15,1639,57,245,0,64,926,314,738,587,986,508,50,19,76,0,2371,7,0,23,206,1078
2021-06,14750,Leeton (A),6,17,1345,0,345,7,170,208,392,794,636,600,445,44,27,208,0,2429,0,0,55,23,630
2021-06,14850,Lismore (C),45,104,5788,133,1258,27,641,840,2718,3471,2763,3547,2788,226,169,655,0,11726,5,0,357,280,4367
2021-06,14870,Lithgow (C),9,35,3393,21,764,6,408,320,1159,1151,976,1249,1002,94,56,275,0,5861,0,0,110,47,1404
2021-06,14900,Liverpool (C),54,121,17455,286,10504,192,7494,1489,7405,18082,14613,18504,11319,816,1834,2524,0,41500,266,0,1011,3313,16254
2021-06,14920,Liverpool Plains (A),14,20,1194,5,284,5,161,102,380,555,458,539,436,25,27,139,0,2122,0,0,44,16,591
2021-06,14950,Lockhart (A),0,5,423,5,102,5,57,99,144,193,139,155,83,10,11,40,0,728,0,0,12,8,139
2021-06,15050,Maitland (C),51,126,9314,93,2786,65,1231,1057,3552,5903,4913,5445,3208,386,248,1309,0,17373,6,0,542,380,6963
2021-06,15240,Mid-Coast (A),69,222,20928,81,4210,46,2331,2978,5586,6403,5088,6416,5401,608,359,1404,0,34088,5,0,692,251,9786
